"Experiment","Target","Date","Variable","Method","Unit","Value","Data.Description","X","Experiment.URI","Target.URI","Variable.URI","Data.Description.URI"
"RESINTBIO","B_Fer-RIB-INT-2","2019-03-26T11:30:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",0,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-2","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-3","2019-03-26T11:30:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",0,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-3","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-1","2019-03-26T11:30:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",0,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-1","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-2","2019-07-09T12:00:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",3.28947368421053,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-2","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-3","2019-07-09T12:00:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",3.69642857142857,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-3","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-1","2019-07-09T12:00:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",4.53763440860215,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-1","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-1","2019-03-28T11:30:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",0,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-1","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-2","2019-03-28T11:30:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",0,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-2","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-2","2019-05-22T16:00:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",11.1041666666667,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-2","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
"RESINTBIO","B_Fer-RIB-INT-1","2019-05-22T16:00:00.000+0200","Nombre moyen de feuille par sarment","Comptage manuel","Unitless",10.2,"standard_provenance",NA,"sixtine:set/experiments#resintbio","sixtine:set/experiments#resintbio/so-Parcelle/B_Fer-RIB-INT-1","sixtine:set/variables#variable.nombre-moyen-de-feuille-par-sarment","sixtine:id/provenance/standard_provenance"
