"uri.URI","type.Type","name.Nom","geometry.geometry","rdfs.comment.Description","vocabulary.hasCreationDate.Date.de.création","vocabulary.hasDestructionDate.Date.de.destruction","vocabulary.hasFactorLevel.Modalité.de.facteur","vocabulary.hasGermplasm.Matériel.génétique","vocabulary.isHosted.Est.accueillie","vocabulary.isPartOf.Est.une.partie.de","NA.NA","NA.NA.1","NA.NA.2"
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/10","vocabulary:SubPlot",10,"LINESTRING (0.415859 44.3323708, 0.4159449 44.332424)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/100","vocabulary:SubPlot",100,"LINESTRING (0.4165961 44.3317585, 0.416682 44.3318117)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/101","vocabulary:SubPlot",101,"LINESTRING (0.4167107 44.3318294, 0.4167966 44.3318827)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/102","vocabulary:SubPlot",102,"LINESTRING (0.4168252 44.3319004, 0.4169112 44.3319536)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/103","vocabulary:SubPlot",103,"LINESTRING (0.4163015 44.3315049, 0.4163874 44.3315581)","Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : Spu
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/104","vocabulary:SubPlot",104,"LINESTRING (0.4164161 44.3315758, 0.416502 44.331629)","Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5 Variété : Spu
Porte-Greffe : Ish
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 8-5",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.ishtara http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/105","vocabulary:SubPlot",105,"LINESTRING (0.4165306 44.3316467, 0.4166166 44.3317)","Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9 Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 12-9",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/106","vocabulary:SubPlot",106,"LINESTRING (0.4166452 44.3317177, 0.4167312 44.3317709)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 16-13",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/107","vocabulary:SubPlot",107,"LINESTRING (0.4167598 44.3317886, 0.4168457 44.3318418)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/108","vocabulary:SubPlot",108,"LINESTRING (0.4168744 44.3318596, 0.4169603 44.3319128)","Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21 Variété : 2733
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 3
Arbre : 24-21",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707 http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/109","vocabulary:SubPlot",109,"LINESTRING (0.4163506 44.331464, 0.4164365 44.3315172)","Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1 Variété : Spu
Porte-Greffe : myro
Fertilisation : minerale
Irrigation : mic
Enherbement : des
Ferti_irrigation : non
Répétition : 3
Arbre : 4-1",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-microjet","http://sixtine.mistea.inrae.fr/set/germplasms#variety.ferco http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.myrobolan",NA,NA,NA,NA,NA
"inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/11","vocabulary:SubPlot",11,"LINESTRING (0.4159736 44.3324417, 0.4160595 44.3324949)","Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17 Variété : 2733
Porte-Greffe : jaspi
Fertilisation : minerale
Irrigation : sec
Enherbement : enh
Ferti_irrigation : non
Répétition : 1
Arbre : 20-17",NA,NA,"sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe sixtine:set/factors#qualite-du-fruit-2017.irrigation.irrigue-enterre","http://sixtine.mistea.inrae.fr/set/germplasms#rootstocklot.jaspi http://sixtine.mistea.inrae.fr/set/germplasms#scionlot.prune-dente-707",NA,NA,NA,NA,NA
