"experiment_uri","experiment_name","so_type","so_type_name","so_number"
"sixtine:set/experiments#croissance-2012-2013","Croissance 2012-2013","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",252
"sixtine:set/experiments#croissance-2012-2013","Croissance 2012-2013","http://www.opensilex.org/vocabulary/oeso#Tree","Tree",1008
"sixtine:set/experiments#qualite-du-fruit-2017","Qualité du fruit 2017","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",252
"sixtine:set/experiments#qualite-du-fruit-2017","Qualité du fruit 2017","http://www.opensilex.org/vocabulary/oeso#Tree","Tree",1008
"sixtine:set/experiments#resintbio","RESINTBIO","http://www.opensilex.org/vocabulary/oeso#Plant","Plant",150
"sixtine:set/experiments#resintbio","RESINTBIO","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",6
"sixtine:set/experiments#resintbio","RESINTBIO","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",30
"sixtine:set/experiments#resopest-contexte-general","RésOPest contexte général","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",4
"sixtine:set/experiments#resopest-contexte-general","RésOPest contexte général","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",33
"sixtine:set/experiments#resopest-culture-de-ble-sur-56s","RésOPest Culture de Blé sur 56S","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",1
"sixtine:set/experiments#resopest-culture-de-ble-sur-56s","RésOPest Culture de Blé sur 56S","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",8
"sixtine:set/experiments#resopest-culture-de-colza-sur-56s","RésOPest Culture de Colza sur 56S","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",1
"sixtine:set/experiments#resopest-culture-de-colza-sur-56s","RésOPest Culture de Colza sur 56S","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",8
"sixtine:set/experiments#resopest-culture-de-colza-sur-57s","RésOPest Culture de Colza sur 57S","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",1
"sixtine:set/experiments#resopest-culture-de-colza-sur-57s","RésOPest Culture de Colza sur 57S","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",8
"sixtine:set/experiments#resopest-culture-de-orge-et-pois-sur-57s","RésOPest Culture de Orge et Pois sur 57S","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",1
"sixtine:set/experiments#resopest-culture-de-orge-et-pois-sur-57s","RésOPest Culture de Orge et Pois sur 57S","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",8
"sixtine:set/experiments#resopest-culture-de-soja-sur-56s","RésOPest Culture de Soja sur 56S","http://www.opensilex.org/vocabulary/oeso#Plot","Plot",1
"sixtine:set/experiments#resopest-culture-de-soja-sur-56s","RésOPest Culture de Soja sur 56S","http://www.opensilex.org/vocabulary/oeso#SubPlot","SubPlot",8
