"","SO_uri","name","property_type","property_value","experiment_uri"
"1","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/1","1","germplasm","sixtine-species:variety.ferco","sixtine:set/experiments#qualite-du-fruit-2017"
"2","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/1","1","germplasm","sixtine-species:rootstocklot.ishtara","sixtine:set/experiments#qualite-du-fruit-2017"
"3","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/1","1","factor level","sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe","sixtine:set/experiments#qualite-du-fruit-2017"
"4","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/1","1","factor level","sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","sixtine:set/experiments#qualite-du-fruit-2017"
"5","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/10","10","germplasm","sixtine-species:rootstocklot.jaspi","sixtine:set/experiments#qualite-du-fruit-2017"
"6","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/10","10","germplasm","sixtine-species:scionlot.prune-dente-707","sixtine:set/experiments#qualite-du-fruit-2017"
"7","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/10","10","factor level","sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","sixtine:set/experiments#qualite-du-fruit-2017"
"8","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/10","10","factor level","sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe","sixtine:set/experiments#qualite-du-fruit-2017"
"9","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/100","100","germplasm","sixtine-species:rootstocklot.jaspi","sixtine:set/experiments#qualite-du-fruit-2017"
"10","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/100","100","germplasm","sixtine-species:scionlot.prune-dente-707","sixtine:set/experiments#qualite-du-fruit-2017"
"11","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/100","100","factor level","sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe","sixtine:set/experiments#qualite-du-fruit-2017"
"12","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/100","100","factor level","sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","sixtine:set/experiments#qualite-du-fruit-2017"
"13","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/101","101","germplasm","sixtine-species:rootstocklot.myrobolan","sixtine:set/experiments#qualite-du-fruit-2017"
"14","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/101","101","germplasm","sixtine-species:scionlot.prune-dente-707","sixtine:set/experiments#qualite-du-fruit-2017"
"15","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/101","101","factor level","sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe","sixtine:set/experiments#qualite-du-fruit-2017"
"16","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/101","101","factor level","sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","sixtine:set/experiments#qualite-du-fruit-2017"
"17","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/102","102","germplasm","sixtine-species:rootstocklot.jaspi","sixtine:set/experiments#qualite-du-fruit-2017"
"18","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/102","102","germplasm","sixtine-species:scionlot.prune-dente-707","sixtine:set/experiments#qualite-du-fruit-2017"
"19","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/102","102","factor level","sixtine:set/factors#qualite-du-fruit-2017.enherbement.desherbe","sixtine:set/experiments#qualite-du-fruit-2017"
"20","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/102","102","factor level","sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","sixtine:set/experiments#qualite-du-fruit-2017"
"21","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/103","103","germplasm","sixtine-species:variety.ferco","sixtine:set/experiments#qualite-du-fruit-2017"
"22","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/103","103","germplasm","sixtine-species:rootstocklot.jaspi","sixtine:set/experiments#qualite-du-fruit-2017"
"23","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/103","103","factor level","sixtine:set/factors#qualite-du-fruit-2017.irrigation.sec","sixtine:set/experiments#qualite-du-fruit-2017"
"24","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/103","103","factor level","sixtine:set/factors#qualite-du-fruit-2017.enherbement.enherbe","sixtine:set/experiments#qualite-du-fruit-2017"
"25","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/104","104","germplasm","sixtine-species:variety.ferco","sixtine:set/experiments#qualite-du-fruit-2017"
"26","inra-sixtine:qualite-du-fruit-bas-intrant/so-parcelle-e-minerale/104","104","germplasm","sixtine-species:rootstocklot.ishtara","sixtine:set/experiments#qualite-du-fruit-2017"
